contrast,Estimate,Std.error,z.value,adj.pvalue,z.ratio,seurat_clusters,p.adjust.fdr,adj.pvalue.round
(Intercept),-1.2257174257309857,0.04311084061353488,-28.431768165201706,0,NA,0,NA,0
Sexmale,-0.48711478490739835,0.06703181278345695,-7.266919462270836,5.784261958297066e-13,NA,0,6.073475056211919e-12,0
Statussub,0.5895982384043486,0.07245376731968238,8.13757876526845,7.771561172376096e-16,NA,0,1.63202784619898e-14,0
Sexmale:Statussub,0.050264114179263505,0.10003835147905184,0.502448445382358,0.94598706769038865,NA,0,0.9999999999962556,1
female.dom.data - female.sub.data,-0.5895982384043486,0.0724537673196824,NA,5.10702591327572e-14,-8.137578765268449,0,NA,0
female.dom.data - male.dom.data,0.48711478490739807,0.06703181278345693,NA,2.2345458816630526e-12,7.266919462270834,0,NA,0
female.dom.data - male.sub.data,-0.15274756767621395,0.06310268298263101,NA,0.07322121092587963,-2.4206192265748454,0,NA,0.0732
female.sub.data - male.dom.data,1.0767130233117466,0.0776255316699337,NA,0,13.870604170416062,0,NA,0
female.sub.data - male.sub.data,0.4368506707281346,0.07425905898683263,NA,2.4179647395428105e-8,5.882792977562448,0,NA,0
male.dom.data - male.sub.data,-0.639862352583612,0.06897915168970718,NA,4.218847493575595e-14,-9.276170218241317,0,NA,0
(Intercept),-1.496722229933318,0.04670731696388004,-32.04470578112572,0,NA,1,NA,0
Sexmale,-0.48234012643889673,0.0733400366527595,-6.576764185742307,8.559208897196413e-11,NA,1,5.991446228037489e-10,0
Statussub,-0.13591857958044656,0.08828272951928973,-1.5395828869422126,0.3202079626991067,NA,1,0.6112089040821881,0.6112
Sexmale:Statussub,0.6670654407265963,0.11665196048744264,5.718424602031482,2.207407034937603e-8,NA,1,1.1588886933422415e-7,0
female.dom.data - female.sub.data,0.1359185795804473,0.08828272951928973,NA,0.4137310412765569,1.539582886942221,1,NA,0.4137
female.dom.data - male.dom.data,0.4823401264388968,0.0733400366527595,NA,2.884456007379299e-10,6.576764185742308,1,NA,0
female.dom.data - male.sub.data,-0.04880673470725252,0.06926922472417613,NA,0.8953141997951906,-0.7045947879682006,1,NA,0.8953
female.sub.data - male.dom.data,0.3464215468584495,0.09385869374584044,NA,0.0012782106159539008,3.690883955795538,1,NA,0.0013
female.sub.data - male.sub.data,-0.18472531428769984,0.09071338880967779,NA,0.1746402960241613,-2.0363621810586836,1,NA,0.1746
male.dom.data - male.sub.data,-0.5311468611461493,0.0762485380462328,NA,1.9593993094702e-11,-6.965994034195015,1,NA,0
(Intercept),-1.5231217730947628,0.04710238011465222,-32.33640782880445,0,NA,2,NA,0
Sexmale,-0.3996034116294937,0.07268673464694246,-5.497611270756168,8.107670002033274e-8,NA,2,3.7835793342821944e-7,0
Statussub,-0.586016273938926,0.10085344808574413,-5.810572519451228,1.2394581028196683e-8,NA,2,7.43674861691801e-8,0
Sexmale:Statussub,0.9940322396484043,0.12635333613588082,7.867083450645249,7.66053886991358e-15,NA,2,1.0724754417879012e-13,0
female.dom.data - female.sub.data,0.5860162739389271,0.1008534480857441,NA,3.731196918099755e-8,5.810572519451241,2,NA,0
female.dom.data - male.dom.data,0.3996034116294947,0.07268673464694246,NA,2.304715873702179e-7,5.497611270756181,2,NA,0
female.dom.data - male.sub.data,-0.008412554079983543,0.07033956634198384,NA,0.999388830705245,-0.11959917465345975,2,NA,0.9994
female.sub.data - male.dom.data,-0.18641286230943238,0.10496433184414858,NA,0.2849234797776823,-1.775963882533153,2,NA,0.2849
female.sub.data - male.sub.data,-0.5944288280189106,0.10335281398700212,NA,5.3017584877856905e-8,-5.751452767349589,2,NA,0
male.dom.data - male.sub.data,-0.40801596570947823,0.07611667072253624,NA,4.967807850642103e-7,-5.360402154171924,2,NA,0
(Intercept),-2.443942921868032,0.06660323762881412,-36.694055857890085,0,NA,3,NA,0
Sexmale,0.6015345886294773,0.08558538192320286,7.028473497603176,3.574696094688079e-12,NA,3,3.0027447195379865e-11,0
Statussub,-0.5192338764014387,0.1444579294130841,-3.5943605069726945,0.0012167348141248757,NA,3,0.003930989399480367,0.0039
Sexmale:Statussub,-0.5249054518177676,0.17837113146353176,-2.942771330264759,0.010452822732354483,NA,3,0.02926790365059255,0.0293
female.dom.data - female.sub.data,0.5192338764014374,0.14445792941308408,NA,0.0018469600609893888,3.594360506972686,3,NA,0.0018
female.dom.data - male.dom.data,-0.6015345886294776,0.08558538192320288,NA,1.255751058693022e-11,-7.028473497603179,3,NA,0
female.dom.data - male.sub.data,0.44260473958972835,0.11178234250365762,NA,4.3630581843912e-4,3.95952285196784,3,NA,4e-4
female.sub.data - male.dom.data,-1.120768465030915,0.13899988648907421,NA,5.5844218138645374e-14,-8.063089066759854,3,NA,0
female.sub.data - male.sub.data,-0.07662913681170902,0.15649729371666476,NA,0.9614258429669276,-0.48965151404116003,3,NA,0.9614
male.dom.data - male.sub.data,1.044139328219206,0.10463348971177898,NA,3.2862601528904634e-14,9.979016575814954,3,NA,0
(Intercept),-2.400387707772129,0.06540020946637412,-36.703058405436785,0,NA,4,NA,0
Sexmale,-0.02612397552670521,0.09407477495810869,-0.27769373392961255,0.9928268704168294,NA,4,0.9999999999962556,1
Statussub,0.12121505540282734,0.11570511492412287,1.0476205436753403,0.6270978345732627,NA,4,0.8779369684025677,0.8779
