term,contrast,estimate,std.error,statistic,p.value,s.value,conf.low,conf.high,predicted,Freq,total.neuron.count,Sex,Status,neuron.clusters,EffectType
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,196,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,145,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,61,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,28,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,42,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,281,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,57,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,104,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,77,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,4,1123,Female,Dom,cluster_9,MER
Sex,Male - Female,-4.4499126605757056e-13,0.001777787252995779,-2.503062530725813e-10,0.9999999998002845,2.8812851297392523e-10,-0.0034843989884911146,0.003484398987601132,0.07142857142901719,107,1123,Female,Dom,cluster_9,MER
