contrast,Estimate,Std.error,z.ratio,adj.pval,neuron.clusters
female.dom.data - female.sub.data,-0.5895982384043486,0.0724537673196824,-8.137578765268449,0,0
female.dom.data - male.dom.data,0.48711478490739807,0.06703181278345693,7.266919462270834,0,0
female.dom.data - male.sub.data,-0.15274756767621395,0.06310268298263101,-2.4206192265748454,0.0732,0
female.sub.data - male.dom.data,1.0767130233117466,0.0776255316699337,13.870604170416062,0,0
female.sub.data - male.sub.data,0.4368506707281346,0.07425905898683263,5.882792977562448,0,0
male.dom.data - male.sub.data,-0.639862352583612,0.06897915168970718,-9.276170218241317,0,0
female.dom.data - female.sub.data,0.1359185795804473,0.08828272951928973,1.539582886942221,0.4137,1
female.dom.data - male.dom.data,0.4823401264388968,0.0733400366527595,6.576764185742308,0,1
female.dom.data - male.sub.data,-0.04880673470725252,0.06926922472417613,-0.7045947879682006,0.8953,1
female.sub.data - male.dom.data,0.3464215468584495,0.09385869374584044,3.690883955795538,0.0013,1
female.sub.data - male.sub.data,-0.18472531428769984,0.09071338880967779,-2.0363621810586836,0.1746,1
male.dom.data - male.sub.data,-0.5311468611461493,0.0762485380462328,-6.965994034195015,0,1
female.dom.data - female.sub.data,0.5860162739389271,0.1008534480857441,5.810572519451241,0,2
female.dom.data - male.dom.data,0.3996034116294947,0.07268673464694246,5.497611270756181,0,2
female.dom.data - male.sub.data,-0.008412554079983543,0.07033956634198384,-0.11959917465345975,0.9994,2
female.sub.data - male.dom.data,-0.18641286230943238,0.10496433184414858,-1.775963882533153,0.2849,2
female.sub.data - male.sub.data,-0.5944288280189106,0.10335281398700212,-5.751452767349589,0,2
male.dom.data - male.sub.data,-0.40801596570947823,0.07611667072253624,-5.360402154171924,0,2
female.dom.data - female.sub.data,0.5192338764014374,0.14445792941308408,3.594360506972686,0.0018,3
female.dom.data - male.dom.data,-0.6015345886294776,0.08558538192320288,-7.028473497603179,0,3
female.dom.data - male.sub.data,0.44260473958972835,0.11178234250365762,3.95952285196784,4e-4,3
female.sub.data - male.dom.data,-1.120768465030915,0.13899988648907421,-8.063089066759854,0,3
female.sub.data - male.sub.data,-0.07662913681170902,0.15649729371666476,-0.48965151404116003,0.9614,3
male.dom.data - male.sub.data,1.044139328219206,0.10463348971177898,9.979016575814954,0,3
female.dom.data - female.sub.data,-0.12121505540282863,0.11570511492412285,-1.0476205436753518,0.7213,4
female.dom.data - male.dom.data,0.026123975526704236,0.0940747749581087,0.2776937339296021,0.9925,4
female.dom.data - male.sub.data,-0.035467222974025936,0.09702131042925913,-0.3655611619458186,0.9833,4
female.sub.data - male.dom.data,0.14733903092953288,0.11697590395689211,1.2595673634104179,0.5888,4
female.sub.data - male.sub.data,0.0857478324288027,0.11935842450587189,0.7184062020237566,0.8898,4
male.dom.data - male.sub.data,-0.06159119850073017,0.09853336066702607,-0.6250796490019801,0.9241,4
female.dom.data - female.sub.data,0.5614862394220755,0.16996616426964634,3.3035177432803278,0.0053,5
female.dom.data - male.dom.data,-0.2019744673590423,0.10499187212713083,-1.9237152673540172,0.218,5
female.dom.data - male.sub.data,0.5572438817964203,0.13385432434450636,4.163062228473238,2e-4,5
female.sub.data - male.dom.data,-0.7634607067811179,0.16783642560359005,-4.548837977426441,0,5
female.sub.data - male.sub.data,-0.00424235762565528,0.18725050785606415,-0.022656054043475805,1,5
male.dom.data - male.sub.data,0.7592183491554625,0.13113942545465618,5.789398165527086,0,5
female.dom.data - female.sub.data,0.23537202964327347,0.15968773847244058,1.4739518005253405,0.4533,6
female.dom.data - male.dom.data,-0.08612212856932694,0.11327510324448646,-0.7602917684695982,0.8723,6
female.dom.data - male.sub.data,0.4518949192926591,0.13674526601732562,3.304647630254374,0.0053,6
female.sub.data - male.dom.data,-0.3214941582126004,0.15905117309469397,-2.0213252876870835,0.18,6
female.sub.data - male.sub.data,0.21652288964938565,0.1765369491803299,1.2265018210335714,0.6099,6
male.dom.data - male.sub.data,0.5380170478619861,0.1360013588994789,3.9559681771977324,4e-4,6
female.dom.data - female.sub.data,-0.552409018213728,0.15325242516460685,-3.6045695043350285,0.0018,7
female.dom.data - male.dom.data,-0.04668090373756558,0.1392243112166279,-0.3352927612256728,0.987,7
female.dom.data - male.sub.data,-0.4335680513984394,0.13320260161374206,-3.2549518263591457,0.0062,7
female.sub.data - male.dom.data,0.5057281144761624,0.15330508866225406,3.2988344932915457,0.0054,7
female.sub.data - male.sub.data,0.1188409668152886,0.14785795363343293,0.8037509237407494,0.8527,7
male.dom.data - male.sub.data,-0.38688714766087384,0.13326318871908116,-2.903180926252876,0.0193,7
female.dom.data - female.sub.data,0.40357695294066276,0.26933189752779796,1.4984372688311427,0.4384,8
female.dom.data - male.dom.data,-1.662784892620416,0.1414544113307809,-11.754917198956164,0,8
female.dom.data - male.sub.data,0.4112835051384631,0.21453787522167533,1.9170671132707762,0.2208,8
female.sub.data - male.dom.data,-2.0663618455610786,0.24522889471562168,-8.426257631496988,0,8
female.sub.data - male.sub.data,0.007706552197800365,0.2935206299787782,0.026255572558417973,1,8
male.dom.data - male.sub.data,2.074068397758879,0.183368589682509,11.3109251772618,0,8
female.dom.data - female.sub.data,0.22779132766163313,0.20739199630176172,1.098361227644435,0.6905,9
female.dom.data - male.dom.data,-0.21871553103843186,0.14261189180145536,-1.5336416078325934,0.4173,9
female.dom.data - male.sub.data,-0.3252492593869312,0.1449514349186964,-2.243849876818152,0.1116,9
female.sub.data - male.dom.data,-0.446506858700065,0.20347057506126498,-2.1944542033442516,0.1247,9
female.sub.data - male.sub.data,-0.5530405870485644,0.20511714145229534,-2.6962182835274473,0.0353,9
male.dom.data - male.sub.data,-0.10653372834849936,0.13928299706253092,-0.764872458198693,0.8703,9
female.dom.data - female.sub.data,-0.15757376949341736,0.18147921449192736,-0.8682744739366647,0.8213,10
female.dom.data - male.dom.data,0.1833304682385126,0.15610960587857517,1.174370194625373,0.6431,10
female.dom.data - male.sub.data,0.0385422891444318,0.1574541974972892,0.24478413250999778,0.9948,10
female.sub.data - male.dom.data,0.34090423773192996,0.18862541701348826,1.8073080665876144,0.2698,10
female.sub.data - male.sub.data,0.19611605863784917,0.18973972490088528,1.033605686633596,0.7297,10
