contrast,Estimate,Std.error,z.ratio,adj.pval,Genes
female.dom.data - female.sub.data,0.18453040791500377,0.1221190310924621,1.511070029496771,0.4308,Esr1
female.dom.data - male.dom.data,0.30071748632347106,0.09668254813252622,3.1103595440127094,0.0101,Esr1
female.dom.data - male.sub.data,-0.2401965272041681,0.08969680980416216,-2.677871461968343,0.0372,Esr1
female.sub.data - male.dom.data,0.11618707840846729,0.12766208138615906,0.9101142418085636,0.7995,Esr1
female.sub.data - male.sub.data,-0.42472693511917187,0.12245656209240928,-3.468388527832919,0.0029,Esr1
male.dom.data - male.sub.data,-0.5409140135276391,0.09710853184931081,-5.570200714876507,0,Esr1
female.dom.data - female.sub.data,0.163113234511415,0.10521758046209173,1.550246962485344,0.4074,Ar
female.dom.data - male.dom.data,-0.03316177744881505,0.07807807084731999,-0.4247258812741698,0.9743,Ar
female.dom.data - male.sub.data,-0.3860885026433585,0.0765306950583081,-5.044884308827991,0,Ar
female.sub.data - male.dom.data,-0.19627501196023003,0.10550899571115388,-1.860268033424953,0.2454,Ar
female.sub.data - male.sub.data,-0.5492017371547735,0.10436910613225024,-5.262110192443903,0,Ar
male.dom.data - male.sub.data,-0.35292672519454343,0.07693085352306504,-4.587583642091409,0,Ar
female.dom.data - female.sub.data,0.06510112767533746,0.12678270471264103,0.5134858719325498,0.9559,Pgr
female.dom.data - male.dom.data,-0.36837998010785966,0.09041631937692476,-4.0742642771397115,3e-4,Pgr
female.dom.data - male.sub.data,-0.5688032885936731,0.09069355807686998,-6.2717055175139045,0,Pgr
female.sub.data - male.dom.data,-0.43348110778319715,0.12260551389226328,-3.5355759624653467,0.0023,Pgr
female.sub.data - male.sub.data,-0.6339044162690106,0.12281010831262422,-5.161663196773263,0,Pgr
male.dom.data - male.sub.data,-0.20042330848581347,0.0847559986029061,-2.3647094222183043,0.084,Pgr
female.dom.data - female.sub.data,0.09792506757887742,0.10528485392866288,0.9300964376626084,0.7887,Nr3c1
female.dom.data - male.dom.data,0.1605038383341961,0.08273686753427556,1.93993129202896,0.2113,Nr3c1
female.dom.data - male.sub.data,-0.14057345818936318,0.0813547629540313,-1.7279069237629372,0.3091,Nr3c1
female.sub.data - male.dom.data,0.06257877075531867,0.10800951950413988,0.5793819937595417,0.9383,Nr3c1
female.sub.data - male.sub.data,-0.2384985257682406,0.10695449737826612,-2.229906470643703,0.1152,Nr3c1
male.dom.data - male.sub.data,-0.3010772965235593,0.08485135998934794,-3.548290758820553,0.0022,Nr3c1
female.dom.data - female.sub.data,0.4030871711139482,0.09059695391331635,4.4492353628094845,1e-4,Nr3c2
female.dom.data - male.dom.data,-0.11108535989001289,0.0632469362895727,-1.7563753504425026,0.2946,Nr3c2
female.dom.data - male.sub.data,-0.048866999105821915,0.06667511338040946,-0.7329121261034114,0.8839,Nr3c2
female.sub.data - male.dom.data,-0.5141725310039611,0.0903864459085636,-5.688602155284504,0,Nr3c2
female.sub.data - male.sub.data,-0.45195417021977013,0.09281759207313493,-4.8692727329497645,0,Nr3c2
male.dom.data - male.sub.data,0.062218360784190976,0.0663887964185267,0.9371816351655999,0.7848,Nr3c2
