Gene,logFC_DvsS,AveExpr_DvsS,t_DvsS,P.Value_DvsS,adj.P.Val_DvsS,B_DvsS,logFC_DvsS_M,AveExpr_DvsS_M,t_DvsS_M,P.Value_DvsS_M,adj.P.Val_DvsS_M,B_DvsS_M,logFC_DvsS_F,AveExpr_DvsS_F,t_DvsS_F,P.Value_DvsS_F,adj.P.Val_DvsS_F,B_DvsS_F,logFC_MvsF,AveExpr_MvsF,t_MvsF,P.Value_MvsF,adj.P.Val_MvsF,B_MvsF,logFC_MvsFD,AveExpr_MvsFD,t_MvsFD,P.Value_MvsFD,adj.P.Val_MvsFD,B_MvsFD,logFC_MvsFS,AveExpr_MvsFS,t_MvsFS,P.Value_MvsFS,adj.P.Val_MvsFS,B_MvsFS,Sig_DvsS,Direction.type_DvsS,Sig.direction_DvsS,Sig_DvsS_M,Direction.type_DvsS_M,Sig.direction_DvsS_M,Sig_DvsS_F,Direction.type_DvsS_F,Sig.direction_DvsS_F,Sig_MvsF,Direction.type_MvsF,Sig.direction_MvsF,Sig_MvsFD,Direction.type_MvsFD,Sig.direction_MvsFD,Sig_MvsFS,Direction.type_MvsFS,Sig.direction_MvsFS
Oxt,-0.22927110150264962,14.151573870544985,-16.171624240489532,2.70470489818129e-51,5.4094097963625797e-48,100.85462768967452,-0.23635974304326446,14.151573870544985,-12.832148997694953,1.7109935162376344e-34,3.4219870324752687e-31,62.565984156205005,-0.22218245996203478,14.151573870544985,-10.306578110674062,1.6408388367748998e-23,1.0938925578499332e-20,37.59174795792553,-0.13334128723982364,14.151573870544985,-9.405220190651413,5.0160181905364896e-20,1.433148054438997e-17,29.217931360875568,-0.14042992878043847,14.151573870544985,-7.978672884401308,4.945105052860545e-15,1.978042021144218e-12,18.068339939131953,-0.1262526456992088,14.151573870544985,-5.679179774073116,1.8762920454449662e-8,2.8866031468384095e-6,3.4430770520395164,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down,Sig,down,down
AY036118,-0.15856306870942571,14.436202095536787,-14.317895270929718,1.0960368754107866e-41,1.0960368754107867e-38,78.79930568827876,-0.10968346451320166,14.436202095536787,-7.623244680733693,6.812227880202538e-14,4.541485253468358e-11,15.528814325114066,-0.20744267290564977,14.436202095536787,-12.319005322745587,3.9713320305433534e-32,7.942664061086707e-29,57.30326674323912,0.03132162716564313,14.436202095536787,2.828273828974697,0.004793569136177994,0.06611819498176544,-8.85969140948115,0.08020123136186719,14.436202095536787,5.833441347559541,7.798238888879263e-9,1.5596477777758526e-6,4.064207295312993,-0.01755797703058093,14.436202095536787,-1.0110960651878143,0.3122673447007697,0.7725282190420536,-11.88350331933923,Sig,down,down,Sig,down,down,Sig,down,down,Not Sig,up,Not Sig,Sig,up,up,Not Sig,down,Not Sig
Cwc22,0.14415893642043187,13.979349240073189,9.357544602623626,7.547438507284536e-20,5.031625671523024e-17,28.813351254272,0.04308423470698308,13.979349240073189,2.1525848523235527,0.03164113809285417,0.4247132629913311,-10.26991750982709,0.24523363813388066,13.979349240073189,10.46889349254006,3.645361970567459e-24,3.645361970567459e-21,39.084354703695304,-0.030007419940107916,13.979349240073189,-1.9478207697113656,0.051775771309540856,0.297561904077821,-10.94985005224819,-0.1310821216535576,13.979349240073189,-6.853784715226892,1.409350641227947e-11,4.026716117794135e-9,10.241146250907107,0.07106728177333999,13.979349240073189,2.9419199102832674,0.0033532934960919755,0.06423222973592099,-8.084867962928207,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Not Sig,down,Not Sig,Sig,down,down,Not Sig,up,Not Sig
mt-Atp6,-0.07628466143829993,14.396490979691977,-6.5755742396187795,8.600965788488734e-11,4.300482894244367e-8,8.25159145708653,-0.017878503629964015,14.396490979691977,-1.1861761557104833,0.23589475042832878,0.6607696090429377,-11.879280916903669,-0.13469081924663584,14.396490979691977,-7.63545392413053,6.235596015912288e-14,2.4942384063649154e-11,15.77323498140565,0.11339086501894347,14.396490979691977,9.774049421844973,2.0132971752471893e-21,6.710990584157298e-19,32.403430743364844,0.17179702282727938,14.396490979691977,11.928305566676144,2.2710408803449312e-30,1.5140272535632874e-27,53.07623113519698,0.05498470721060755,14.396490979691977,3.0225895995349634,0.0025838492584758267,0.05747534252320201,-7.846571668487307,Sig,down,down,Not Sig,down,Not Sig,Sig,down,down,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig
Avp,-0.07941516107952218,13.912485735921388,-6.498903938064665,1.3999519580395742e-10,5.599807832158297e-8,7.774521593646522,-0.13200352682344096,13.912485735921388,-8.314646533838447,3.785032942618973e-16,3.785032942618973e-13,20.64979273658903,-0.026826795335603393,13.912485735921388,-1.4437962066976915,0.14917650459498144,0.8613298215137388,-11.38350497086618,-0.04143040156557998,13.912485735921388,-3.3904382517153513,7.310146889405215e-4,0.01803733870263668,-7.130063527663265,-0.09401876730949787,13.912485735921388,-6.197519607622228,9.057331650371753e-10,2.0127403667492785e-7,6.164624321276616,0.011157964178339697,13.912485735921388,0.5823210156291014,0.5605098158060803,0.9999999999993232,-12.225244326039268,Sig,down,down,Sig,down,down,Not Sig,down,Not Sig,Sig,down,down,Sig,down,down,Not Sig,up,Not Sig
Erbb4,0.13239343032644157,14.121339340633952,6.268162584427856,5.887277716743785e-10,1.9624259055812614e-7,6.369322140110576,0.1292362931302904,14.121339340633952,4.709554975807872,2.9125689972940843e-6,0.0011650275989176337,-1.6264770585059356,0.13555056752259276,14.121339340633952,4.220613288884148,2.7072759173604218e-5,0.002578358016533735,-3.603179352196861,0.013848138778023156,14.121339340633952,0.6556396728926895,0.5122390567120607,0.7969043069189302,-12.629658731158067,0.010691001581871973,14.121339340633952,0.4077170486258025,0.6835873578921836,1,-12.545296615068146,0.01700527597417434,14.121339340633952,0.5134501756038732,0.6077741349884145,0.9999999999993232,-12.263009651270652,Sig,up,up,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
Lsamp,0.09413290746324687,14.578549637538218,6.168278184150588,1.0811961424806221e-9,3.0891318356589205e-7,5.775347268351158,0.035321249551953926,14.578549637538218,1.7814765025598092,0.0752029908964682,0.5633182838686757,-10.997338160339963,0.15294456537453982,14.578549637538218,6.591085306173975,7.789085507032402e-11,2.5963618356774672e-8,8.76778722896674,0.11363436356217793,14.578549637538218,7.446156552681516,2.4245062698222585e-13,3.730009645880397e-11,14.017279297478776,0.054822705650884984,14.578549637538218,2.8936740156998506,0.003908102365961566,0.12783291592097903,-8.457910080954289,0.17244602147347088,14.578549637538218,7.206368441763647,1.2994197348718664e-12,3.7126278139196185e-10,12.815843961808977,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
mt-Co3,-0.05617062317180821,14.512308484362517,-5.740287280178428,1.3283674636009126e-8,3.3209186590022818e-6,3.3292794406180555,0.017185807029475697,14.512308484362517,1.3518106918895314,0.1768069366919189,0.6098161886143949,-11.669248976207223,-0.12952705337309212,14.512308484362517,-8.705330733206875,1.7103324671117558e-17,8.551662335558779e-15,23.86674732210539,0.11126031979995421,14.512308484362517,11.370110610715194,6.283914747133399e-28,4.189276498088932e-25,47.27071141174155,0.18461675000123812,14.512308484362517,15.197149900046105,3.658145969182668e-46,3.658145969182668e-43,89.28910969988789,0.037903889598670304,14.512308484362517,2.470295849356132,0.013701654279887458,0.1631149319034221,-9.351339493321973,Sig,down,down,Not Sig,up,Not Sig,Sig,down,down,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig
Frmpd4,0.09522584558359792,14.041318016664416,5.683711456531867,1.8290511650672632e-8,4.064558144593918e-6,3.0180532874272483,0.06324854406525837,14.041318016664416,2.9056899917073302,0.0037626139199136775,0.18813069599568388,-8.377913029548232,0.12720314710193747,14.041318016664416,4.993159560563271,7.252175876856962e-7,1.229419169112845e-4,-0.12992031253063274,0.09015635091911722,14.041318016664416,5.381130316645416,9.654658417394965e-8,1.1358421667523488e-5,1.4021005669652293,0.05817904940077767,14.041318016664416,2.797115922340595,0.005276306380232674,0.15075161086379069,-8.73031143798761,0.12213365243745677,14.041318016664416,4.648933499073269,3.884511192152049e-6,3.531373811047317e-4,-1.715054066259638,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up
Lrrtm4,0.10664512857840514,14.31366072525426,5.0910014858167125,4.415889201823508e-7,8.831778403647016e-5,-0.0698513788854136,0.09451714119994925,14.31366072525426,3.4729164815850053,5.416712740488616e-4,0.06372603224104254,-6.588921995484795,0.11877311595686102,14.31366072525426,3.7289001624066342,2.054804730269059e-4,0.016438437842152473,-5.523033725444734,0.05385833942318019,14.31366072525426,2.571077457377207,0.010312716993726344,0.11395267396382701,-9.548770683337695,0.041730352044725194,14.31366072525426,1.6046521793614485,0.10895365930868242,0.597006352376342,-11.341499052748597,0.06598632680163696,14.31366072525426,2.008893713513344,0.044874261526088303,0.3054501964755023,-10.379620548609044,Sig,up,up,Not Sig,up,Not Sig,Sig,up,up,Not Sig,up,Not Sig,Not Sig,up,Not Sig,Not Sig,up,Not Sig
