p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,specificity
0,1.0300374960645544,0.929,0.779,0,0,mt-Cytb,1.2283759099409128
0,1.0339521961153888,0.945,0.826,0,0,mt-Nd4,1.1829114108099787
0,0.9786532348115144,0.961,0.873,0,0,mt-Nd2,1.0773032745176006
0,-1.0508862166074744,0.938,0.993,0,0,Snhg11,-0.9926800313975941
0,0.8224989565136096,0.987,0.964,0,0,mt-Co1,0.8421228942727517
0,-0.9531514886030013,0.978,0.999,0,0,Meg3,-0.9331152711248601
0,0.8438662201091685,1,1,0,0,Gm42418,0.8438662201091685
0,-0.8218386901339301,1,1,0,0,Malat1,-0.8218386901339301
3.979590654221278e-307,-1.3480305734806373,0.505,0.857,8.662772936108878e-303,0,Ube3a,-0.7943470707207956
2.3502390340900365e-306,0.8304644072849461,0.986,0.949,5.116000329407191e-302,0,mt-Co2,0.8628428931327258
1.8284257289566763e-297,0.733323638779567,0.994,0.986,3.980117126792893e-293,0,AY036118,0.7392735263153039
2.32007896859109e-275,0.937679712572818,0.934,0.792,5.050347898829084e-271,0,Calm1,1.1057990549785506
4.044474908009923e-273,1.033378994478186,0.918,0.749,8.804012979756e-269,0,Hsp90ab1,1.2665446153951598
8.932650878716208e-272,0.8818382589339022,0.958,0.897,1.944459443278944e-267,0,Camk1d,0.9418071929305222
1.8941256056396103e-271,0.6603158224898387,0.999,0.994,4.123132618356303e-267,0,mt-Co3,0.6636373306512564
5.371895438533713e-268,0.7531049303443096,0.991,0.972,1.1693541990600187e-263,0,mt-Atp6,0.767826117254332
2.643841857480469e-266,1.107458694307279,0.879,0.665,5.755114955363485e-262,0,Hsp90aa1,1.4638438981896214
1.5240778776049175e-265,0.9174998970197086,0.944,0.819,3.3176127239703844e-261,0,Fth1,1.0575334588359033
5.635202245151811e-256,-0.9615342219327374,0.866,0.966,1.2266708247246464e-251,0,Lsamp,-0.8619965177989137
1.4192876429222698e-254,-0.980933420802174,0.637,0.918,3.089505341113197e-250,0,Dlg2,-0.6806694869836436
7.0655343450628415e-252,1.0213729249761916,0.894,0.697,1.5380255162332794e-247,0,Rps8,1.3100536512607106
